Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Cyprodinil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/199.htm,Approved,cyprodinil (Ref: CGA 219417),121552-61-2,Not carcinogenic,4-cyclopropyl-6-methyl-N-phenyl-2-pyrimidinamine,0.03,No further information available,Tested,Tested
"P,P'-Ddt",https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3140.htm,Not approved,"p,p'-DDT",50-29-3,Carcinogen,"1,1'-(2,2,2-trichloroethylidene)bis(4-chlorobenzene)",-,"Toxic by ingestion, inhalation and via skin absorptionXenoestrogen agentMutagenicEndocrine issues - Competitive binding to androgen receptors",Tested,Tested
Debacarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2890.htm,Not approved,debacarb,62732-91-6,-,2-(2-ethoxyethoxy)ethyl N-1H-benzimidazol-2-ylcarbamate,-,No information available,Tested,Tested
Demephion-S,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2757.htm,Not approved,demephion-S,2587-90-8,-,"O,O-dimethyl S-[2-(methylthio)ethyl] phosphorothioate",-,"Central nervous system toxicantMay cause seizures, incontinence, respiratory depression leading to a loss of consciousness",Tested,Tested
Demeton-O-Methyl Sulfone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1545.htm,Not approved,demeton-O-methyl sulfone,25476-48-6,-,"O-2-ethylsulfonylethyl O,O-dimethyl phosphorothioate",-,No further information available,Tested,Tested
Demeton-O-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1544.htm,Not approved,demeton-O-methyl (Ref: ENT 18862),867-27-6,Not carcinogenic,"O-[2-(ethylthio)ethyl] O,O-dimethyl phosphorothioate",-,No further information available,Tested,Tested
Demeton-S-Methyl Sulfone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1534.htm,Not approved,demeton-S-methyl sulfone,17040-19-6,-,"S-2-ethylsulfonylethyl O,O-dimethyl phosphorothioate",-,No further information available,Tested,Tested
Demeton-S-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/206.htm,Not approved,demeton-S-methyl,919-86-8,Not carcinogenic,"S-(2-(ethylthio)ethyl) O,O-dimethyl phosphorothioate",0.0003,No further information available,Tested,Tested
Denatonium Benzoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1398.htm,Approved,denatonium benzoate (Ref: ASU 90 820 P),3734-33-6,-,"N-(2-((2,6-dimethylphenyl)amino)-2-oxoethyl)-N,N-diethylbenzeneme-thanaminium benzoate",None allocated,"Toxic on ingestion - may cause diarrhea, decreased respiratory rate and salivation",Tested,Tested
Dialifos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1101.htm,Not approved,dialifos (Ref: AC 14503),10311-84-9,-,"S-(2-chloro-1-(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)ethyl) O,O-diethyl phosphorodithioate",-,May cause respiratory depression and respiratory paralysis,Tested,Tested
Di-Allate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/211.htm,Not approved,di-allate (Ref: CP 15),2303-16-4,Carcinogen,"S-(2,3-dichloro-2-propenyl) bis(1-methylethyl)carbamothioate",-,"Exposure may cause irritability, hyperactivity and mild cardiac changes",Tested,Tested
Dibromochloropropane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1441.htm,Not approved,dibromochloropropane (Ref: OS1897),96-12-8,Carcinogen,"1,2-dibromo-3-chloropropane",-,May cause male infertilityLiver and kidney toxicantMay cause pulmonary edema,Tested,Tested
Dichlofluanid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/216.htm,Not approved,dichlofluanid (Ref: BAY 47531),1085-98-9,-,"1,1-dichloro-N-((dimethylamino)sulfonyl)-1-fluoro-N-phenylmethanesulfenamide",0.3,No further information available,Tested,Tested
Diclobutrazol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1288.htm,Not approved,diclobutrazol (Ref: PP296),75736-33-3,Not carcinogenic,"rac-(2R,3R)-1-(2,4-dichlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pentan-3-ol",-,No further information available,Tested,Tested
Dicrotophos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/224.htm,Not approved,dicrotophos (Ref: OMS 253),141-66-2,Carcinogenic,(1E)-3-(dimethylamino)-1-methyl-3-oxo-1-propenyl dimethyl phosphate,-,"Toxic if ingested, inhaled or by skin contact",Tested,Tested
Dienochlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/227.htm,Not approved,dienochlor (Ref: SAN 804),2227-17-0,Not carcinogenic,"1,1',2,2',3,3',4,4',5,5'-decachlorobi-2,4-cyclopentadien-1-yl",-,No further information available,Tested,Tested
Diethyltoluamide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1190.htm,Not approved,diethyltoluamide,134-62-3,-,"N,N-diethyl-3-methylbenzamide",-,No further information available,Tested,Tested
Difenzoquat Metilsulfate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2515.htm,Not approved,difenzoquat metilsulfate (Ref: AC 84777),43222-48-6,Not carcinogenic,"1,2-dimethyl-3,5-diphenylpyrazolium methyl sulfate",0.0005,Moderately toxicMay cause irreversible eye damage,Tested,Tested
Dimefuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/237.htm,Not approved,dimefuron (Ref: RP 23465),34205-21-5,-,"N'-[3-chloro-4-[5-(1,1-dimethylethyl)-2-oxo-1,3,4-oxadiazol-3(2H)-yl]phenyl]-N,N-dimethylurea",0.07,No further information avilable,Tested,Tested
Dimepiperate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/238.htm,Not approved,dimepiperate (Ref: MY 93),61432-55-1,-,S-(1-methyl-1-phenylethyl) 1-piperidinecarbothioate,0.001,No further information available,Tested,Tested
Dimethenamid-P,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/241.htm,Approved,dimethenamid-P,163515-14-8,Carcinogenic,"2-chloro-N-(2,4-dimethyl-3-thienyl)-N-[(1S)-2-methoxy-1-methylethyl]acetamide",0.02,Possible liver toxicant,Tested,Tested
Dimethomorph,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/245.htm,Approved,dimethomorph (Ref: CME 151),110488-70-5,Not carcinogenic,"4-(3-(4-chlorophenyl)-3-(3,4-dimethoxyphenyl)-1-oxo-2-propenyl)morpholine",0.05,May cause acute lung injury if inhaledPossible liver & prostate toxicant,Tested,Tested
Dinex-Diclexine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2761.htm,Not approved,dinex-diclexine (Ref: ENT 30838),317-83-9,-,"2-cyclohexyl-4,6-dinitrophenol compound with N-cyclohexylcyclohexanamine (1:1)",-,"Toxic by ingestion, via skin and inhalationPotential liver and kidney toxicantMetabolic stimulantMay cause dermatitis",Tested,Tested
Diphenylamine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1335.htm,Not approved,diphenylamine,122-39-4,Not carcinogenic,N-phenylbenzenamine,0.075,"Gastrointestinal, cardiovascular, kidney and liver toxicantMay cause methemoglobinemiaMaycause splenic congestion",Tested,Tested
Disul-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2768.htm,Not approved,disul-sodium,136-78-7,-,"sodium 2-(2,4-dichlorophenoxy)ethyl sulfate",-,Possible liver and kidney toxicant,Tested,Tested
Dithianon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/258.htm,Approved,dithianon (Ref: BAS 216F),3347-22-6,Carcinogenic,"5,10-dihydro-5,10-dioxonaphtho(2,3-b)-1,4-dithiin-2,3-dicarbonitrile",0.01,"ToxicPossible liver and kidney toxicantMay cause nausea, vomiting and diarrhea if ingestedUSEPA - possible human carcinogen",Tested,Tested
Dixanthogen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2775.htm,Not approved,dixanthogen,502-55-6,-,thioperoxydicarbonic acid ([(HO)C(S)]2S2) diethyl ester,-,No information available,Tested,Tested
Dodemorph,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/262.htm,Approved,dodemorph,1593-77-7,Not carcinogenic,"4-cyclododecyl-2,6-dimethylmorpholine",0.082,Some potential as a skin sensitiser,Tested,Tested
Dodine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/263.htm,Approved,dodine (Ref: BAS 365F),2439-10-3,Not carcinogenic,dodecylguanidine monoacetate,0.1,Highly toxicSerious damage to eyes,Tested,Tested
Endothal,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/265.htm,Not approved,endothal,145-73-3,Not carcinogenic,"7-oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid",-,ToxicCorrosive effects on gastrointestinal tract,Tested,Tested
Enoxastrobin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2851.htm,Not approved,enoxastrobin (Ref: SYP-Z071),238410-11-2,-,methyl (αE)-2-((((E)-((2E)-3-(4-chlorophenyl)-1-methyl-2-propen-1-ylidene)amino)oxy)methyl)-a-(methoxymethylene)benzeneaceate,-,No further information available,Tested,Tested
Epocholeone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2424.htm,Not approved,epocholeone,162922-31-8,Carcinogen,"(1R,3aS,3bS,6aS,8S,9R,10aR,10bS,12aS)-1-[(1S)-1-[(2R,3R)-3-[(1S)-1-ethyl-2-methylpropyl]oxiranyl]ethyl]hexadecahydro-10a,12a-dimethyl-8,9-bis(1-oxopropoxy)-6H-benz[c]indeno[5,4-e]oxepin-6-one",-,No further information available,Tested,Tested
Erbon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2887.htm,Not approved,erbon,136-25-4,-,"2-(2,4,5-trichlorophenoxy)ethyl 2,2-dichloropropanoate",-,No information available,Tested,Tested
Ethanamine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1574.htm,Not approved,ethanamine (Ref: HSDB 7282),274671-61-3,Not carcinogenic,-,-,No further information available,Tested,Tested
Ethion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/276.htm,Not approved,ethion (Ref: ENT 24105),563-12-2,Not carcinogenic,"O,O,O',O'-tetraethyl S,S'-methylene bis(phosphorodithioate)",0.002,Bioaccumulates,Tested,Tested
Ethiozin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2888.htm,Not approved,ethiozin (Ref: SMY 1500),64529-56-2,Carcinogenic,"4-amino-6-(1,1-dimethylethyl)-3-(ethylthio)-1,2,4-triazin-5(4H)-one",-,"Blood, liver and CNS toxicantMay disturb gastrointestinal tract",Tested,Tested
Ethoate-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1597.htm,Not approved,ethoate-methyl (Ref: ENT 25506 ),116-01-8,-,"S-[2-(ethylamino)-2-oxoethyl] O,O-dimethyl phosphorodithioate",-,No further information available,Tested,Tested
Ethoxyfen Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2426.htm,Not approved,ethoxyfen ethyl,131086-42-5,-,1S)-2-ethoxy-1-methyl-2-oxoethyl 2-chloro-5-[2-chloro-4-(trifluoromethyl)phenoxy]benzoate,-,No further information available,Tested,Tested
Etridiazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/285.htm,Approved,etridiazole (Ref: Olin 2424),2593-15-9,Carcinogenic,"5-ethoxy-3-(trichloromethyl)-1,2,4-thiadiazole",0.015,Possible liver toxicant,Tested,Tested
Famoxadone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/287.htm,Approved,famoxadone (Ref: JE 874),131807-57-3,Not carcinogenic,"5-methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione",0.012,"Splene, liver & red blood cell toxicantMay cause long term eye damage from repeated exposure",Tested,Tested
Fenamidone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/289.htm,Approved,fenamidone (Ref: RPA 407213),161326-34-7,Not carcinogenic,"(5S)-3,5-dihydro-5-methyl-2-(methylthio)-5-phenyl-3-(phenylamino)-4H-imidazol-4-one",0.03,Possible liver and thyroid toxicant,Tested,Tested
Fenapanil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2432.htm,Not approved,fenapanil,61019-78-1,-,(RS)-2-(imidazol-1-ylmethyl)-2-phenylhexanenitrile,-,No further information available,Tested,Tested
Fenbuconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/293.htm,Approved,fenbuconazole (Ref: RH 7592),114369-43-6,Carcinogenic,"α-(2-(4-chlorophenyl)ethyl)-a-phenyl-1H-1,2,4-triazole-1-propanenitrile",0.006,Possible liver & kidney toxicantUSEPA - possible human carcinogenEndocrine issues - Inhibition of thyroid hormones production,Tested,Tested
Fenchlorphos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1228.htm,Not approved,fenchlorphos (Ref: Dow ET-14),299-84-3,-,"O,O-dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate",0.01,Harmful in contact skin or if swallowed,Tested,Tested
Fenfluthrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2777.htm,Not approved,fenfluthrin (Ref: NAK 1654),75867-00-4,-,"(pentafluorophenyl)methyl (1R,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",-,No further information available,Tested,Tested
Fenitropan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2558.htm,Not approved,fenitropan (Ref: EGYT 2248),65934-95-4,-,"(1R,2R)-rel-2-nitro-1-phenyl-1,3-propanediyl diacetate",-,No further infromation available,Tested,Tested
Fenobucarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1183.htm,Not approved,fenobucarb (Ref: Bayer 41367C),3766-81-2,Not carcinogenic,2-(1-methylpropyl)phenyl methylcarbamate,-,No further information available,Tested,Tested
Fenoprop-Butotyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2778.htm,Not approved,fenoprop-butotyl,19398-13-1,Carcinogenic,"2-butoxyethyl 2-(2,4,5-trichlorophenoxy)propanoate",-,No further information available,Tested,Tested
Fenothiocarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/301.htm,Not approved,fenothiocarb (Ref: KCO 3001),62850-32-2,-,S-(4-phenoxybutyl) dimethylcarbamothioate,0.0075,No further information available,Tested,Tested
Fenoxaprop-P-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/303.htm,Approved,fenoxaprop-P-ethyl (Ref: AE F046360),71283-80-2,-,"(R)-2-(4-((6-chloro-1,3-benzoxazolyl)oxy)phenoxy)propanoate ethyl",0.01,Possible liver and kidney toxicant,Tested,Tested
Fenoxaprop-P-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/303.htm,Approved,fenoxaprop-P-ethyl (Ref: AE F046360),71283-80-2,-,"(R)-2-(4-((6-chloro-1,3-benzoxazolyl)oxy)phenoxy)propanoate ethyl",0.01,Possible liver and kidney toxicant,Tested,Tested
Fenoxasulfone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1653.htm,Not approved,fenoxasulfone (Ref: KIH-1419),639826-16-7,Not carcinogenic,"3-[[(2,5-dichloro-4-ethoxyphenyl)methyl]sulfonyl]-4,5-dihydro-5,5-dimethylisoxazole",-,"Potential renal , liver and kidney toxicant",Tested,Tested
Fenpropidin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/307.htm,Approved,fenpropidin (Ref: CGA 114900),67306-00-7,Carcinogenic,"1-(3-(4-(1,1-dimethylethyl)phenyl)-2-methylpropyl)piperidine",0.02,"Harmful by inhalation, in contact with skin and if swallowedUSEPA - some evidence to suggest possible human carcinogen",Tested,Tested
Fenpropimorph,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/308.htm,Approved,fenpropimorph (Ref: CGA 101031),67564-91-4,Not carcinogenic,"(2R,6S)-rel-4-(3-(4-(1,1-dimethylethyl)phenyl)-2-methylpropyl)-2,6-dimethylmorpholine",0.003,No further information available,Tested,Tested
Fenpyrazamine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2010.htm,Approved,fenpyrazamine (Ref: S-2188),473798-59-3,Not carcinogenic,"S-2-propen-1-yl 5-amino-2,3-dihydro-2-(1-methylethyl)-4-(2-methylphenyl)-3-oxo-1H-pyrazole-1-carbothioate",0.13,Possible liver toxicant,Tested,Tested
Fenthiaprop Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2428.htm,Not approved,fenthiaprop ethyl (Ref: Hoe 35609),66441-11-0,-,ethyl 2-[4-[(6-chloro-2-benzothiazolyl)oxy]phenoxy]propanoate,2000,No further information available,Tested,Tested
Fenthion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/310.htm,Not approved,fenthion (Ref: OMS 2),55-38-9,Not carcinogenic,"O,O-dimethyl O-(3-methyl-4-(methylthio)phenyl) phosphorothioate",Intravenous LD50 = 320 mg kg-1,"Harmful in contact with skin or if inhaled or swallowedMay harm central nervous, cardiovascular, and respiratory systems",Tested,Tested
Fentin Acetate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/311.htm,Not approved,fentin acetate (Ref: OMS 1020),900-95-8,Carcinogen,triphenylstannylium acetate,0.0004,"Very toxicMay cause skin burns, erythema, or dermatitis",Tested,Tested
Flamprop-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2931.htm,Not approved,flamprop-methyl,52756-25-9,-,methyl N-benzoyl-N-(3-chloro-4-fluorophenyl)-DL-alaninate,-,No further information available,Tested,Tested
Flazasulfuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/319.htm,Approved,flazasulfuron (Ref: OK 1166),104040-78-0,Not carcinogenic,"N-[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]-3-(trifluoromethyl)-2-pyridinesulfonamide",0.013,"Possible Liver, kidney & blood toxicant",Tested,Tested
Flocoumafen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/320.htm,Not approved,flocoumafen (Ref: BAS 322l),90035-08-8,-,"4-hydroxy-3-[1,2,3,4-tetrahydro-3-[4-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-1-naphthalenyl]-2H-1-benzopyran-2-one",-,Highly toxicMay cause  massive hemorrhage resulting in shock,Tested,Tested
Florpyrauxifen-Benzyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3097.htm,Pending,florpyrauxifen-benzyl (Ref: XDE-848 BE),1390661-72-9,-,phenylmethyl 4-amino-3-chloro-6-(4-chloro-2-fluoro-3-methoxyphenyl)-5-fluoro-2-pyridinecarboxylate,3,No information available,Tested,Tested
Fluazifop-P-Butyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/324.htm,Approved,fluazifop-P-butyl (Ref: R154875),79241-46-6,Not carcinogenic,butyl (2R)-2-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,0.01,"Harmful if inhaled or ingestedKidney, spleen and liver toxicantMay cause eye cateracts",Tested,Tested
Fluazifop-P-Butyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/324.htm,Approved,fluazifop-P-butyl (Ref: R154875),79241-46-6,Not carcinogenic,butyl (2R)-2-(4-((5-(trifluoromethyl)-2-pyridinyl)oxy)phenoxy)propanoate,0.01,"Harmful if inhaled or ingestedKidney, spleen and liver toxicantMay cause eye cateracts",Tested,Tested
Fluazinam,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/325.htm,Approved,fluazinam (Ref: IKF 1216),79622-59-6,Carcinogenic,"3-chloro-N-(3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl)-5-(trifluoromethyl)-2-pyridinamine",0.01,Potential liver toxicantMay cause allergic contact dermatitis and occupational asthmaUSEPA - some evidence to suggest possible human carcinogen,Tested,Tested
Fludioxonil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/330.htm,Approved,fludioxonil (Ref: CGA 173506),131341-86-1,Carcinogenic,"4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",0.37,Liver and kidney toxicant,Tested,Tested
Flufenoxystrobin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2613.htm,Not approved,flufenoxystrobin (Ref: syp-3759),918162-02-4,-,methyl (αE)-2-((2-chloro-4-(trifluoromethyl)phenoxy)methyl)-α-(methoxymethylene)benzeneacetate,-,No information available,Tested,Tested
Flumetsulam,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/334.htm,Not approved,flumetsulam (Ref: DE 498),98967-40-9,Not carcinogenic,"N-(2,6-difluorophenyl)-5-methyl[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",-,No further information available,Tested,Tested
Fluopicolide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/337.htm,Approved,fluopicolide (Ref: AE C638206),239110-15-7,Not carcinogenic,"2,6-dichloro-N-((3-chloro-5-(trifluoromethyl)-2-pyridinyl)methyl)benzamide",0.08,"Possible liver, kidney and spleen toxicant",Tested,Tested
Fluoroimide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2926.htm,Not approved,fluoroimide,-,Not carcinogenic,"3,4-dichloro-1-(4-fluorophenyl)-1H-pyrrole-2,5-dione",-,May cause a decrease in body weight via decreased food consumptionMay cause anemia,Tested,Tested
Flurenol-Butyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2932.htm,Not approved,flurenol-butyl,2314-09-2,-,butyl 9-hydroxy-9H-fluorene-9-carboxylate,-,No further information available,Tested,Tested
Flutianil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2608.htm,Pending,flutianil (Ref: OK-5303),958647-10-4,Carcinogenic,(2Z)-2-((2-fluoro-5-(trifluoromethyl)phenyl)thio)-2-(3-(2-methoxyphenyl)-2-thiazolidinylidene)acetonitrile,0.82,Possible liver & kidney toxicant,Tested,Tested
Fluvalinate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1720.htm,Not approved,fluvalinate,69409-94-5,Not carcinogenic,cyano(3-phenoxyphenyl)methyl N-[2-chloro-4-(trifluoromethyl)phenyl]-DL-valinate,-,"Liver and kidney toxicantEndocrine issues - Binding to human sex hormone, inhibition of progesterone production",Tested,Tested
Fluxapyroxad,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2002.htm,Approved,fluxapyroxad (Ref: BAS 700F),907204-31-3,Carcinogenic,"3-(difluoromethyl)-1-methyl-N-(3',4',5'-trifluoro[1,1'-biphenyl]-2-yl)-1H-pyrazole-4-carboxamide",0.02,"Possible liver, prostrate and thyroid toxicant",Tested,Tested
Fomesafen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/355.htm,Not approved,fomesafen (Ref: PP 021),72178-02-0,Not carcinogenic,5-[2-chloro-4-(trifluoromethyl)phenoxy]-N-(methylsulfonyl)-2-nitrobenzamide,0.003,Probably liver toxicant,Tested,Tested
Foramsulfuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/357.htm,Approved,foramsulfuron (Ref: AE F130360),173159-57-4,Not carcinogenic,"2-[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]-4-(formylamino)-N,N-dimethylbenzamide",0.25,Some data sources suggest substance causes serious eye irritation,Tested,Tested
Formetanate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/360.htm,Approved,formetanate (Ref: SN 36056),22259-30-9,Not carcinogenic,"N,N-dimethyl-N'-[3-[[(methylamino)carbonyl]oxy]phenyl]methanimidamide",0.004,Highly toxic,Tested,Tested
Formothion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/361.htm,Not approved,formothion (Ref: SAN 6913I),2540-82-1,Not carcinogenic,"S-(2-(formylmethylamino)-2-oxoethyl) O,O-dimethyl phosphorodithioate",-,"May cause blurred vision, muscle spasms or loss of coordination",Tested,Tested
Fufenozide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2648.htm,Not approved,fufenozide (Ref: JS-118),467427-81-1,-,"2,3-dihydro-2,7-dimethyl-6-benzofurancarboxylic acid 2-(3,5-dimethylbenzoyl)-2-(1,1-dimethylethyl)hydrazide",-,No further information available,Tested,Tested
